review_id,order_id,customer_id,rating,review_text
RV00093,O01647,C01847,4,Good food and the delivery was on time.
RV00094,O03543,C00644,3,The order was fine overall.
RV00095,O06463,C00050,5,"Loved the food, would definitely order again."
RV00096,O00576,C01902,5,"Loved the food, would definitely order again."
RV00097,O02623,C01396,2,The order was delayed and disappointing.
RV00098,O00119,C01946,2,The order was delayed and disappointing.
RV00099,O08680,C01360,4,Really good experience overall.
RV00100,O01292,C00296,4,"Good service, just a minor delay."
RV00101,O02032,C01621,2,Not happy with the delivery experience.
RV00102,O04650,C01115,4,Good food and the delivery was on time.
RV00103,O08365,C01502,4,Food was tasty and delivery was smooth.
RV00104,O05181,C01568,4,Food was tasty and delivery was smooth.
RV00105,O08269,C01960,3,Food was okay but delivery took some time.
RV00106,O08216,C01493,4,Really good experience overall.
RV00107,O00937,C00175,5,Food was excellent and delivery was very quick.
RV00108,O01463,C00445,4,Really good experience overall.
RV00109,O04370,C01223,5,Everything was perfect and arrived on time.
RV00110,O06284,C01701,1,"Terrible experience, food arrived very late."
RV00111,O02981,C01431,2,Delivery was late and the food was not very good.
RV00112,O07245,C00550,3,Food was decent but could have been better.
RV00113,O08555,C01102,4,Good food and the delivery was on time.
RV00114,O07368,C00930,4,Good food and the delivery was on time.
RV00115,O04392,C01964,4,Good food and the delivery was on time.
RV00116,O03264,C01068,4,Good food and the delivery was on time.
RV00117,O07788,C01862,5,Everything was perfect and arrived on time.
RV00118,O01310,C00194,2,The order was delayed and disappointing.
RV00119,O08358,C01010,4,Food was tasty and delivery was smooth.
RV00120,O04141,C00803,5,Amazing food and great delivery experience.
RV00121,O08893,C01970,3,Food was okay but delivery took some time.
RV00122,O05113,C00455,3,Food was okay but delivery took some time.
RV00123,O06031,C01243,4,Good food and the delivery was on time.
RV00124,O03099,C00680,1,"Very poor service, would not order again."
RV00125,O05832,C00516,5,Everything was perfect and arrived on time.
RV00126,O09116,C00717,5,Everything was perfect and arrived on time.
RV00127,O02284,C01139,5,Amazing food and great delivery experience.
RV00128,O00352,C00967,2,Food was cold when it arrived.
RV00129,O09199,C00561,5,Amazing food and great delivery experience.
RV00130,O03137,C00281,5,Amazing food and great delivery experience.
RV00131,O02408,C00096,5,Food was excellent and delivery was very quick.
RV00132,O07914,C01970,2,Not happy with the delivery experience.
RV00133,O09499,C01385,5,Food was excellent and delivery was very quick.
RV00134,O07079,C00630,3,Food was okay but delivery took some time.
RV00135,O05843,C00680,2,Food was cold when it arrived.
RV00136,O06852,C00369,5,"Loved the food, would definitely order again."
RV00137,O03529,C01685,5,"Loved the food, would definitely order again."
RV00138,O01634,C00200,4,"Good service, just a minor delay."
RV00139,O03750,C00390,4,Good food and the delivery was on time.
RV00140,O01475,C01090,3,The order was fine overall.
RV00141,O08072,C01136,5,Amazing food and great delivery experience.
RV00142,O03555,C00097,5,"Loved the food, would definitely order again."
RV00143,O00200,C00294,4,Really good experience overall.
RV00144,O04423,C01741,3,The order was fine overall.
RV00145,O08079,C00459,4,Good food and the delivery was on time.
RV00146,O07006,C01971,3,"Average experience, nothing special."
RV00147,O09821,C01206,3,"Average experience, nothing special."
RV00148,O08920,C00135,4,Food was tasty and delivery was smooth.
RV00149,O01841,C00295,5,Food was excellent and delivery was very quick.
RV00150,O02136,C00834,5,Amazing food and great delivery experience.
RV00151,O05121,C01022,3,Food was okay but delivery took some time.
RV00152,O09022,C00029,3,"Average experience, nothing special."
RV00153,O05655,C01843,2,Delivery was late and the food was not very good.
RV00154,O06343,C00382,5,"Loved the food, would definitely order again."
RV00155,O02947,C01614,4,Food was tasty and delivery was smooth.
RV00156,O09777,C01874,5,Food was excellent and delivery was very quick.
RV00157,O02838,C01405,1,"Very poor service, would not order again."
RV00158,O08364,C00684,4,Really good experience overall.
RV00159,O04948,C01841,5,Everything was perfect and arrived on time.
RV00160,O01950,C00231,2,The order was delayed and disappointing.
RV00161,O07415,C00446,4,Good food and the delivery was on time.
RV00162,O02797,C01193,4,"Good service, just a minor delay."
RV00163,O05393,C00881,1,Very late delivery and the food was cold.
RV00164,O07923,C01224,3,Food was okay but delivery took some time.
RV00165,O08213,C00179,4,Food was tasty and delivery was smooth.
RV00166,O04312,C01891,5,"Loved the food, would definitely order again."
RV00167,O06608,C01608,4,"Good service, just a minor delay."
RV00168,O03873,C01445,3,Food was okay but delivery took some time.
RV00169,O03405,C01567,3,Food was okay but delivery took some time.
RV00170,O07194,C00412,5,Food was excellent and delivery was very quick.
RV00171,O02151,C01521,4,Food was tasty and delivery was smooth.
RV00172,O09924,C01534,5,Amazing food and great delivery experience.
RV00173,O02787,C01733,4,Food was tasty and delivery was smooth.
RV00174,O06487,C00361,4,Really good experience overall.
RV00175,O09340,C00985,5,"Loved the food, would definitely order again."
RV00176,O02246,C00775,2,Not happy with the delivery experience.
RV00177,O08485,C00019,4,Food was tasty and delivery was smooth.
RV00178,O09182,C01626,5,Food was excellent and delivery was very quick.
RV00179,O09047,C00810,5,"Loved the food, would definitely order again."
RV00180,O06143,C01081,4,Good food and the delivery was on time.
RV00181,O02708,C01225,3,"Average experience, nothing special."
RV00182,O02465,C00175,3,Food was decent but could have been better.
RV00183,O05709,C00185,1,"Very poor service, would not order again."
RV00184,O01645,C00179,5,Amazing food and great delivery experience.
RV00185,O04954,C01192,5,Food was excellent and delivery was very quick.
RV00186,O08710,C00324,3,Food was decent but could have been better.
RV00187,O03872,C00132,4,Really good experience overall.
RV00188,O09883,C00343,4,Food was tasty and delivery was smooth.
RV00189,O01710,C01718,3,"Average experience, nothing special."
RV00190,O08910,C01784,3,The order was fine overall.
RV00191,O05128,C01690,4,"Good service, just a minor delay."
RV00192,O04313,C01402,3,"Average experience, nothing special."
RV00193,O02793,C00105,1,Food was disappointing and delivery was extremely slow.
RV00194,O05087,C00944,5,"Loved the food, would definitely order again."
RV00195,O01028,C01926,1,"Very poor service, would not order again."
RV00196,O03126,C01548,4,"Good service, just a minor delay."
RV00197,O06548,C00802,4,Really good experience overall.
RV00198,O06582,C01179,2,Delivery was late and the food was not very good.
RV00199,O01267,C00910,3,"Average experience, nothing special."
RV00200,O04116,C00959,4,Really good experience overall.
RV00201,O07715,C00248,2,Food was cold when it arrived.
RV00202,O03548,C01365,3,"Average experience, nothing special."
RV00203,O02401,C00804,5,Amazing food and great delivery experience.
RV00204,O03733,C00149,5,Food was excellent and delivery was very quick.
RV00205,O09052,C00416,3,"Average experience, nothing special."
RV00206,O05210,C01152,5,"Loved the food, would definitely order again."
RV00207,O01006,C00773,4,Good food and the delivery was on time.
RV00208,O07790,C00793,5,Amazing food and great delivery experience.
RV00209,O00813,C00525,4,"Good service, just a minor delay."
RV00210,O01825,C01733,2,Not happy with the delivery experience.
RV00211,O05204,C01303,4,"Good service, just a minor delay."
RV00212,O04733,C01488,3,Food was okay but delivery took some time.
RV00213,O01425,C00080,5,Everything was perfect and arrived on time.
RV00214,O00610,C00628,3,"Average experience, nothing special."
RV00215,O01194,C00090,3,Food was decent but could have been better.
RV00216,O01669,C00719,4,Food was tasty and delivery was smooth.
RV00217,O07378,C01958,2,Food was cold when it arrived.
RV00218,O09065,C01747,2,The order was delayed and disappointing.
RV00219,O08982,C01392,4,Food was tasty and delivery was smooth.
RV00220,O08266,C00353,1,Very late delivery and the food was cold.
RV00221,O04326,C00797,2,Not happy with the delivery experience.
RV00222,O03945,C01952,4,Good food and the delivery was on time.
RV00223,O05235,C01877,5,Food was excellent and delivery was very quick.
RV00224,O02550,C01191,3,Food was decent but could have been better.
RV00225,O07022,C00186,4,"Good service, just a minor delay."
RV00226,O01081,C00887,3,Food was decent but could have been better.
RV00227,O03130,C01446,2,Delivery was late and the food was not very good.
RV00228,O00502,C00521,5,"Loved the food, would definitely order again."
RV00229,O06014,C01782,4,Good food and the delivery was on time.
RV00230,O00613,C01452,2,The order was delayed and disappointing.
RV00231,O06572,C01024,5,Food was excellent and delivery was very quick.
RV00232,O07263,C00852,4,"Good service, just a minor delay."
RV00233,O02750,C00092,4,Food was tasty and delivery was smooth.
RV00234,O05933,C00129,5,"Loved the food, would definitely order again."
RV00235,O00827,C00064,4,Food was tasty and delivery was smooth.
RV00236,O05038,C01980,4,Food was tasty and delivery was smooth.
RV00237,O01944,C00453,1,Food was disappointing and delivery was extremely slow.
RV00238,O03743,C00245,4,Really good experience overall.
RV00239,O01468,C01747,3,Food was okay but delivery took some time.
RV00240,O09253,C01627,3,Food was decent but could have been better.
RV00241,O02621,C01535,4,Really good experience overall.
RV00242,O06670,C01684,1,"Very poor service, would not order again."
RV00243,O04431,C00614,2,The order was delayed and disappointing.
RV00244,O01494,C01255,3,The order was fine overall.
RV00245,O02577,C01627,4,Good food and the delivery was on time.
RV00246,O02677,C01072,5,"Loved the food, would definitely order again."
RV00247,O03947,C00603,5,Food was excellent and delivery was very quick.
RV00248,O01076,C00009,1,Food was disappointing and delivery was extremely slow.
RV00249,O06113,C00226,3,"Average experience, nothing special."
RV00250,O08385,C01228,5,"Loved the food, would definitely order again."
RV00251,O00468,C00754,3,"Average experience, nothing special."
RV00252,O05797,C01919,4,Food was tasty and delivery was smooth.
RV00253,O02510,C01278,4,"Good service, just a minor delay."
RV00254,O06415,C00738,5,"Loved the food, would definitely order again."
RV00255,O08191,C00050,5,Food was excellent and delivery was very quick.
RV00256,O04480,C01060,4,Really good experience overall.
RV00257,O02694,C01909,4,Food was tasty and delivery was smooth.
RV00258,O07359,C00502,5,Everything was perfect and arrived on time.
RV00259,O01532,C00042,4,"Good service, just a minor delay."
RV00260,O03849,C01358,3,The order was fine overall.
RV00261,O02188,C00478,1,Food was disappointing and delivery was extremely slow.
RV00262,O07947,C00922,4,Food was tasty and delivery was smooth.
RV00263,O01874,C01600,5,"Loved the food, would definitely order again."
RV00264,O03709,C01866,5,"Loved the food, would definitely order again."
RV00265,O01989,C01857,4,"Good service, just a minor delay."
RV00266,O05012,C00904,4,Good food and the delivery was on time.
RV00267,O09704,C00550,4,Really good experience overall.
RV00268,O01161,C00222,1,"Terrible experience, food arrived very late."
RV00269,O03112,C01649,4,Really good experience overall.
RV00270,O03722,C01037,3,Food was decent but could have been better.
RV00271,O09309,C00581,4,Food was tasty and delivery was smooth.
RV00272,O05331,C01390,1,"Terrible experience, food arrived very late."
RV00273,O07201,C00690,5,Food was excellent and delivery was very quick.
RV00274,O04994,C00665,4,"Good service, just a minor delay."
RV00275,O03327,C01355,4,Good food and the delivery was on time.
RV00276,O05922,C00484,5,Everything was perfect and arrived on time.
RV00277,O02841,C01370,3,Food was decent but could have been better.
RV00278,O01144,C01568,3,Food was okay but delivery took some time.
RV00279,O05931,C00824,1,"Terrible experience, food arrived very late."
RV00280,O08188,C00393,1,"Terrible experience, food arrived very late."
RV00281,O00178,C01572,2,Delivery was late and the food was not very good.
RV00282,O01644,C00468,4,Food was tasty and delivery was smooth.
RV00283,O07300,C00051,5,"Loved the food, would definitely order again."
RV00284,O09358,C00383,2,Food was cold when it arrived.
RV00285,O00361,C00248,3,Food was okay but delivery took some time.
RV00286,O05148,C00296,4,"Good service, just a minor delay."
RV00287,O05403,C00876,5,Food was excellent and delivery was very quick.
RV00288,O04652,C01448,5,Amazing food and great delivery experience.
RV00289,O08942,C00234,5,Amazing food and great delivery experience.
RV00290,O01409,C01444,1,"Very poor service, would not order again."
RV00291,O01703,C00409,4,Good food and the delivery was on time.
RV00292,O09800,C01521,2,Food was cold when it arrived.
RV00293,O05141,C01681,5,Everything was perfect and arrived on time.
RV00294,O01972,C00541,4,Really good experience overall.
RV00295,O07579,C00945,4,Really good experience overall.
RV00296,O00217,C00820,3,Food was decent but could have been better.
RV00297,O04704,C01344,3,Food was decent but could have been better.
RV00298,O08929,C01819,5,Amazing food and great delivery experience.
RV00299,O01327,C01959,4,Good food and the delivery was on time.
RV00300,O03897,C00031,5,Food was excellent and delivery was very quick.
RV00301,O01102,C00290,3,"Average experience, nothing special."
RV00302,O02807,C00144,2,The order was delayed and disappointing.
RV00303,O06586,C01589,4,"Good service, just a minor delay."
RV00304,O09554,C01292,5,Everything was perfect and arrived on time.
RV00305,O07416,C00954,1,Food was disappointing and delivery was extremely slow.
RV00306,O01466,C00297,3,The order was fine overall.
RV00307,O01063,C00642,4,Good food and the delivery was on time.
RV00308,O05313,C00035,3,Food was decent but could have been better.
RV00309,O06297,C00757,4,"Good service, just a minor delay."
RV00310,O03240,C00476,4,"Good service, just a minor delay."
RV00311,O08768,C01342,5,"Loved the food, would definitely order again."
RV00312,O03092,C00918,1,Food was disappointing and delivery was extremely slow.
RV00313,O09359,C00707,2,Delivery was late and the food was not very good.
RV00314,O01962,C00222,5,Everything was perfect and arrived on time.
RV00315,O01243,C00076,5,Amazing food and great delivery experience.
RV00316,O06941,C00733,5,Amazing food and great delivery experience.
RV00317,O06060,C00106,4,Good food and the delivery was on time.
RV00318,O09983,C01555,5,Food was excellent and delivery was very quick.
RV00319,O04441,C00331,5,"Loved the food, would definitely order again."
RV00320,O03015,C00982,4,Really good experience overall.
RV00321,O04265,C01022,5,Everything was perfect and arrived on time.
RV00322,O01464,C01943,3,"Average experience, nothing special."
RV00323,O09386,C01740,1,"Terrible experience, food arrived very late."
RV00324,O09412,C01779,3,Food was decent but could have been better.
RV00325,O05424,C00471,5,"Loved the food, would definitely order again."
RV00326,O02207,C01310,5,Food was excellent and delivery was very quick.
RV00327,O00366,C01947,3,The order was fine overall.
RV00328,O05111,C00815,4,"Good service, just a minor delay."
RV00329,O08426,C00538,5,Amazing food and great delivery experience.
RV00330,O01462,C00202,5,Food was excellent and delivery was very quick.
RV00331,O03939,C01224,4,Really good experience overall.
RV00332,O08986,C01292,4,Good food and the delivery was on time.
RV00333,O05017,C00884,4,Food was tasty and delivery was smooth.
RV00334,O04232,C01309,5,Everything was perfect and arrived on time.
RV00335,O06149,C01026,3,The order was fine overall.
RV00336,O05137,C01000,2,Food was cold when it arrived.
RV00337,O07946,C01087,5,Food was excellent and delivery was very quick.
RV00338,O07860,C01158,3,"Average experience, nothing special."
RV00339,O05303,C00397,4,Good food and the delivery was on time.
RV00340,O02036,C01324,3,Food was decent but could have been better.
RV00341,O05538,C00206,3,The order was fine overall.
RV00342,O09138,C00518,3,Food was decent but could have been better.
RV00343,O06776,C01269,3,Food was decent but could have been better.
RV00344,O01333,C00396,5,Food was excellent and delivery was very quick.
RV00345,O00785,C01018,4,Really good experience overall.
RV00346,O05466,C01506,4,Good food and the delivery was on time.
RV00347,O07280,C01592,4,Food was tasty and delivery was smooth.
RV00348,O03497,C01107,4,Really good experience overall.
RV00349,O08390,C01152,5,Food was excellent and delivery was very quick.
RV00350,O00730,C01158,5,Everything was perfect and arrived on time.
RV00351,O00416,C01991,4,Really good experience overall.
RV00352,O05554,C00835,3,The order was fine overall.
RV00353,O09861,C00716,4,"Good service, just a minor delay."
RV00354,O08684,C00472,3,Food was decent but could have been better.
RV00355,O09632,C00336,3,Food was okay but delivery took some time.
RV00356,O03810,C00676,4,"Good service, just a minor delay."
RV00357,O06777,C01786,4,"Good service, just a minor delay."
RV00358,O08399,C00706,3,"Average experience, nothing special."
RV00359,O00462,C00013,5,Amazing food and great delivery experience.
RV00360,O02190,C00890,2,The order was delayed and disappointing.
RV00361,O00202,C00395,5,Amazing food and great delivery experience.
RV00362,O04674,C00111,2,Not happy with the delivery experience.
RV00363,O04005,C00520,4,"Good service, just a minor delay."
RV00364,O00515,C01840,2,Delivery was late and the food was not very good.
RV00365,O06634,C01796,5,Everything was perfect and arrived on time.
RV00366,O08416,C01941,4,Food was tasty and delivery was smooth.
RV00367,O02531,C00329,4,Really good experience overall.
RV00368,O03371,C00424,5,Everything was perfect and arrived on time.
RV00369,O02948,C01294,3,The order was fine overall.
RV00370,O07362,C00761,3,Food was okay but delivery took some time.
RV00371,O03932,C01798,3,Food was okay but delivery took some time.
RV00372,O09299,C01548,4,Good food and the delivery was on time.
RV00373,O08373,C00071,4,Really good experience overall.
RV00374,O06330,C01556,3,Food was decent but could have been better.
RV00375,O06425,C01422,5,Amazing food and great delivery experience.
RV00376,O03742,C00382,5,Everything was perfect and arrived on time.
RV00377,O04637,C01927,5,Amazing food and great delivery experience.
RV00378,O10000,C00657,3,"Average experience, nothing special."
RV00379,O03855,C00246,4,Good food and the delivery was on time.
RV00380,O03053,C01760,2,Food was cold when it arrived.
RV00381,O05451,C01180,4,"Good service, just a minor delay."
RV00382,O08130,C01789,2,Delivery was late and the food was not very good.
RV00383,O03871,C00304,2,Not happy with the delivery experience.
RV00384,O04051,C01384,4,Really good experience overall.
RV00385,O00504,C00627,4,Food was tasty and delivery was smooth.
RV00386,O07230,C01392,5,Amazing food and great delivery experience.
RV00387,O08614,C01292,5,Everything was perfect and arrived on time.
RV00388,O09656,C00568,1,"Very poor service, would not order again."
RV00389,O05136,C01689,2,Not happy with the delivery experience.
RV00390,O05183,C01185,5,Amazing food and great delivery experience.
RV00391,O05222,C01582,4,"Good service, just a minor delay."
RV00392,O06955,C00738,1,Food was disappointing and delivery was extremely slow.
RV00393,O04066,C01090,5,Amazing food and great delivery experience.
RV00394,O07113,C01054,5,Everything was perfect and arrived on time.
RV00395,O00089,C01139,4,Really good experience overall.
RV00396,O07974,C00079,5,Everything was perfect and arrived on time.
RV00397,O00534,C00476,4,"Good service, just a minor delay."
RV00398,O00062,C00342,4,Really good experience overall.
RV00399,O08187,C01555,4,Good food and the delivery was on time.
RV00400,O03691,C01715,4,"Good service, just a minor delay."
RV00401,O07718,C00015,3,"Average experience, nothing special."
RV00402,O06585,C01690,3,Food was decent but could have been better.
RV00403,O09900,C01697,3,Food was okay but delivery took some time.
RV00404,O05622,C01185,2,Delivery was late and the food was not very good.
RV00405,O03064,C00774,2,Delivery was late and the food was not very good.
RV00406,O04892,C00624,2,Not happy with the delivery experience.
RV00407,O07400,C01284,5,"Loved the food, would definitely order again."
RV00408,O02189,C00828,5,"Loved the food, would definitely order again."
RV00409,O09678,C00625,5,Everything was perfect and arrived on time.
RV00410,O04384,C01268,5,Food was excellent and delivery was very quick.
RV00411,O00794,C01051,3,Food was okay but delivery took some time.
RV00412,O04288,C01722,5,Food was excellent and delivery was very quick.
RV00413,O00052,C00788,4,Good food and the delivery was on time.
RV00414,O02457,C00673,1,"Terrible experience, food arrived very late."
RV00415,O05637,C01939,5,Food was excellent and delivery was very quick.
RV00416,O04202,C00644,4,Food was tasty and delivery was smooth.
RV00417,O04461,C00683,5,Everything was perfect and arrived on time.
RV00418,O06219,C01098,5,Food was excellent and delivery was very quick.
RV00419,O01108,C00327,3,Food was okay but delivery took some time.
RV00420,O02018,C00659,4,Good food and the delivery was on time.
RV00421,O04397,C01191,3,Food was decent but could have been better.
RV00422,O01389,C00370,4,"Good service, just a minor delay."
RV00423,O00985,C01766,4,Really good experience overall.
RV00424,O06410,C01267,2,Food was cold when it arrived.
RV00425,O09529,C00723,3,Food was decent but could have been better.
RV00426,O04226,C01676,4,Really good experience overall.
RV00427,O07065,C01196,3,"Average experience, nothing special."
RV00428,O05591,C01837,4,Food was tasty and delivery was smooth.
RV00429,O03355,C00660,1,"Very poor service, would not order again."
RV00430,O07198,C00635,4,Food was tasty and delivery was smooth.
RV00431,O02193,C00286,2,The order was delayed and disappointing.
RV00432,O07500,C01198,2,Not happy with the delivery experience.
RV00433,O01441,C01077,3,"Average experience, nothing special."
RV00434,O07922,C00307,5,Amazing food and great delivery experience.
RV00435,O06302,C01967,1,Food was disappointing and delivery was extremely slow.
RV00436,O00426,C00725,5,Food was excellent and delivery was very quick.
RV00437,O03909,C01812,4,Good food and the delivery was on time.
RV00438,O06848,C01105,5,Amazing food and great delivery experience.
RV00439,O02387,C00336,4,"Good service, just a minor delay."
RV00440,O05909,C00139,2,The order was delayed and disappointing.
RV00441,O00394,C01369,4,Really good experience overall.
RV00442,O07836,C00898,5,Food was excellent and delivery was very quick.
RV00443,O03828,C01487,5,Food was excellent and delivery was very quick.
RV00444,O05443,C00518,5,Food was excellent and delivery was very quick.
RV00445,O05106,C01111,4,Food was tasty and delivery was smooth.
RV00446,O00263,C00131,3,The order was fine overall.
RV00447,O01275,C01529,5,Everything was perfect and arrived on time.
RV00448,O01410,C01644,5,Everything was perfect and arrived on time.
RV00449,O04309,C00263,2,Delivery was late and the food was not very good.
RV00450,O09837,C01740,3,"Average experience, nothing special."
RV00451,O08541,C01832,2,The order was delayed and disappointing.
RV00452,O07334,C01317,5,Food was excellent and delivery was very quick.
RV00453,O01260,C00652,2,Not happy with the delivery experience.
RV00454,O04201,C01618,4,Really good experience overall.
RV00455,O09955,C01366,5,"Loved the food, would definitely order again."
RV00456,O03341,C01788,3,Food was okay but delivery took some time.
RV00457,O02158,C01899,3,"Average experience, nothing special."
RV00458,O04925,C01547,2,Not happy with the delivery experience.
RV00459,O03865,C00086,5,Food was excellent and delivery was very quick.
RV00460,O07313,C00533,3,"Average experience, nothing special."
RV00461,O09805,C01063,4,Really good experience overall.
RV00462,O03790,C00391,5,Amazing food and great delivery experience.
RV00463,O04488,C00673,5,Amazing food and great delivery experience.
RV00464,O03919,C00176,3,Food was decent but could have been better.
RV00465,O08206,C01529,1,"Very poor service, would not order again."
RV00466,O07291,C01583,5,Amazing food and great delivery experience.
RV00467,O00612,C00781,5,Food was excellent and delivery was very quick.
RV00468,O08021,C01664,5,"Loved the food, would definitely order again."
RV00469,O01840,C01554,4,Good food and the delivery was on time.
RV00470,O08046,C00954,3,"Average experience, nothing special."
RV00471,O07403,C01850,4,Good food and the delivery was on time.
RV00472,O05263,C01939,2,Delivery was late and the food was not very good.
RV00473,O04778,C01988,4,Really good experience overall.
RV00474,O04796,C01961,1,Food was disappointing and delivery was extremely slow.
RV00475,O02552,C01601,2,Not happy with the delivery experience.
RV00476,O07765,C01960,4,Really good experience overall.
RV00477,O07754,C00275,4,"Good service, just a minor delay."
RV00478,O00647,C00579,4,Really good experience overall.
RV00479,O02186,C01685,2,The order was delayed and disappointing.
RV00480,O00210,C00952,3,"Average experience, nothing special."
RV00481,O00112,C01712,3,"Average experience, nothing special."
RV00482,O05494,C00850,3,Food was decent but could have been better.
RV00483,O00204,C00921,1,"Very poor service, would not order again."
RV00484,O06138,C01399,1,Food was disappointing and delivery was extremely slow.
RV00485,O07131,C01527,1,Very late delivery and the food was cold.
RV00486,O06870,C00707,3,"Average experience, nothing special."
RV00487,O01210,C01466,3,"Average experience, nothing special."
RV00488,O03729,C01133,3,"Average experience, nothing special."
RV00489,O06090,C00606,4,Good food and the delivery was on time.
RV00490,O00339,C01703,5,Food was excellent and delivery was very quick.
