review_id,order_id,customer_id,rating,review_text,sentiment,clean_text,vader_sentiment
RV00028,O03904,C00412,1,Very late delivery and the food was cold.,Negative,very late delivery and the food was cold,Neutral
RV00029,O02817,C01714,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00030,O02908,C00245,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00031,O00878,C00746,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00032,O04648,C00509,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00033,O09618,C01957,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00034,O06107,C01139,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00035,O06159,C00617,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00036,O01527,C01127,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00037,O03443,C00330,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00038,O07502,C01050,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00039,O09174,C00733,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00040,O05533,C00885,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00041,O09692,C01337,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00042,O04159,C01808,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00043,O03588,C00807,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00044,O02604,C01520,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00045,O07735,C01986,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00046,O00364,C00249,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00047,O07143,C00628,1,Very late delivery and the food was cold.,Negative,very late delivery and the food was cold,Neutral
RV00048,O03703,C00207,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00049,O01454,C00794,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00050,O09644,C01818,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00051,O05015,C01790,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00052,O01755,C01129,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00053,O00537,C01997,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00054,O06127,C00114,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00055,O09380,C01663,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00056,O00445,C01829,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00057,O08799,C00585,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00058,O03778,C00128,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00059,O09990,C01661,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00060,O01398,C01210,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00061,O03335,C01139,1,Very late delivery and the food was cold.,Negative,very late delivery and the food was cold,Neutral
RV00062,O01100,C00625,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00063,O04754,C01208,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00064,O05810,C00293,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00065,O00685,C00133,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00066,O02911,C00780,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00067,O09505,C00680,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00068,O09994,C01762,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00069,O07231,C00076,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00070,O03093,C00157,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00071,O07793,C01551,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00072,O08114,C01810,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00073,O01485,C00942,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00074,O00311,C00565,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00075,O02706,C00698,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00076,O04549,C01492,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00077,O02735,C01358,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00078,O09384,C00077,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00079,O09880,C01585,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00080,O00374,C00426,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00081,O08829,C00438,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00082,O05645,C00223,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00083,O07141,C00552,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00084,O08483,C01623,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00085,O02905,C01550,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00086,O08105,C00308,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00087,O01213,C00961,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00088,O00640,C00371,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00089,O08265,C01134,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00090,O04512,C00113,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00091,O06769,C00524,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00092,O06350,C01629,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00093,O01647,C01847,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00094,O03543,C00644,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00095,O06463,C00050,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00096,O00576,C01902,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00097,O02623,C01396,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00098,O00119,C01946,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00099,O08680,C01360,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00100,O01292,C00296,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00101,O02032,C01621,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00102,O04650,C01115,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00103,O08365,C01502,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00104,O05181,C01568,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00105,O08269,C01960,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00106,O08216,C01493,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00107,O00937,C00175,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00108,O01463,C00445,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00109,O04370,C01223,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00110,O06284,C01701,1,"Terrible experience, food arrived very late.",Negative,terrible experience food arrived very late,Negative
RV00111,O02981,C01431,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00112,O07245,C00550,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00113,O08555,C01102,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00114,O07368,C00930,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00115,O04392,C01964,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00116,O03264,C01068,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00117,O07788,C01862,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00118,O01310,C00194,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00119,O08358,C01010,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00120,O04141,C00803,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00121,O08893,C01970,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00122,O05113,C00455,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00123,O06031,C01243,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00124,O03099,C00680,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00125,O05832,C00516,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00126,O09116,C00717,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00127,O02284,C01139,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00128,O00352,C00967,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00129,O09199,C00561,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00130,O03137,C00281,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00131,O02408,C00096,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00132,O07914,C01970,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00133,O09499,C01385,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00134,O07079,C00630,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00135,O05843,C00680,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00136,O06852,C00369,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00137,O03529,C01685,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00138,O01634,C00200,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00139,O03750,C00390,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00140,O01475,C01090,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00141,O08072,C01136,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00142,O03555,C00097,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00143,O00200,C00294,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00144,O04423,C01741,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00145,O08079,C00459,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00146,O07006,C01971,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00147,O09821,C01206,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00148,O08920,C00135,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00149,O01841,C00295,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00150,O02136,C00834,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00151,O05121,C01022,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00152,O09022,C00029,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00153,O05655,C01843,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00154,O06343,C00382,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00155,O02947,C01614,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00156,O09777,C01874,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00157,O02838,C01405,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00158,O08364,C00684,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00159,O04948,C01841,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00160,O01950,C00231,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00161,O07415,C00446,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00162,O02797,C01193,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00163,O05393,C00881,1,Very late delivery and the food was cold.,Negative,very late delivery and the food was cold,Neutral
RV00164,O07923,C01224,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00165,O08213,C00179,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00166,O04312,C01891,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00167,O06608,C01608,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00168,O03873,C01445,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00169,O03405,C01567,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00170,O07194,C00412,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00171,O02151,C01521,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00172,O09924,C01534,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00173,O02787,C01733,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00174,O06487,C00361,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00175,O09340,C00985,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00176,O02246,C00775,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00177,O08485,C00019,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00178,O09182,C01626,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00179,O09047,C00810,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00180,O06143,C01081,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00181,O02708,C01225,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00182,O02465,C00175,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00183,O05709,C00185,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00184,O01645,C00179,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00185,O04954,C01192,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00186,O08710,C00324,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00187,O03872,C00132,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00188,O09883,C00343,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00189,O01710,C01718,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00190,O08910,C01784,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00191,O05128,C01690,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00192,O04313,C01402,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00193,O02793,C00105,1,Food was disappointing and delivery was extremely slow.,Negative,food was disappointing and delivery was extremely slow,Negative
RV00194,O05087,C00944,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00195,O01028,C01926,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00196,O03126,C01548,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00197,O06548,C00802,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00198,O06582,C01179,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00199,O01267,C00910,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00200,O04116,C00959,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00201,O07715,C00248,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00202,O03548,C01365,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00203,O02401,C00804,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00204,O03733,C00149,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00205,O09052,C00416,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00206,O05210,C01152,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00207,O01006,C00773,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00208,O07790,C00793,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00209,O00813,C00525,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00210,O01825,C01733,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00211,O05204,C01303,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00212,O04733,C01488,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00213,O01425,C00080,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00214,O00610,C00628,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00215,O01194,C00090,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00216,O01669,C00719,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00217,O07378,C01958,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00218,O09065,C01747,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00219,O08982,C01392,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00220,O08266,C00353,1,Very late delivery and the food was cold.,Negative,very late delivery and the food was cold,Neutral
RV00221,O04326,C00797,2,Not happy with the delivery experience.,Negative,not happy with the delivery experience,Negative
RV00222,O03945,C01952,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00223,O05235,C01877,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00224,O02550,C01191,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00225,O07022,C00186,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00226,O01081,C00887,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00227,O03130,C01446,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00228,O00502,C00521,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00229,O06014,C01782,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00230,O00613,C01452,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00231,O06572,C01024,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00232,O07263,C00852,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00233,O02750,C00092,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00234,O05933,C00129,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00235,O00827,C00064,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00236,O05038,C01980,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00237,O01944,C00453,1,Food was disappointing and delivery was extremely slow.,Negative,food was disappointing and delivery was extremely slow,Negative
RV00238,O03743,C00245,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00239,O01468,C01747,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00240,O09253,C01627,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00241,O02621,C01535,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00242,O06670,C01684,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00243,O04431,C00614,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00244,O01494,C01255,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00245,O02577,C01627,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00246,O02677,C01072,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00247,O03947,C00603,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00248,O01076,C00009,1,Food was disappointing and delivery was extremely slow.,Negative,food was disappointing and delivery was extremely slow,Negative
RV00249,O06113,C00226,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00250,O08385,C01228,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00251,O00468,C00754,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00252,O05797,C01919,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00253,O02510,C01278,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00254,O06415,C00738,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00255,O08191,C00050,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00256,O04480,C01060,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00257,O02694,C01909,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00258,O07359,C00502,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00259,O01532,C00042,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00260,O03849,C01358,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00261,O02188,C00478,1,Food was disappointing and delivery was extremely slow.,Negative,food was disappointing and delivery was extremely slow,Negative
RV00262,O07947,C00922,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00263,O01874,C01600,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00264,O03709,C01866,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00265,O01989,C01857,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00266,O05012,C00904,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00267,O09704,C00550,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00268,O01161,C00222,1,"Terrible experience, food arrived very late.",Negative,terrible experience food arrived very late,Negative
RV00269,O03112,C01649,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00270,O03722,C01037,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00271,O09309,C00581,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00272,O05331,C01390,1,"Terrible experience, food arrived very late.",Negative,terrible experience food arrived very late,Negative
RV00273,O07201,C00690,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00274,O04994,C00665,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00275,O03327,C01355,4,Good food and the delivery was on time.,Positive,good food and the delivery was on time,Positive
RV00276,O05922,C00484,5,Everything was perfect and arrived on time.,Positive,everything was perfect and arrived on time,Positive
RV00277,O02841,C01370,3,Food was decent but could have been better.,Neutral,food was decent but could have been better,Positive
RV00278,O01144,C01568,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00279,O05931,C00824,1,"Terrible experience, food arrived very late.",Negative,terrible experience food arrived very late,Negative
RV00280,O08188,C00393,1,"Terrible experience, food arrived very late.",Negative,terrible experience food arrived very late,Negative
RV00281,O00178,C01572,2,Delivery was late and the food was not very good.,Negative,delivery was late and the food was not very good,Negative
RV00282,O01644,C00468,4,Food was tasty and delivery was smooth.,Positive,food was tasty and delivery was smooth,Neutral
RV00283,O07300,C00051,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00284,O09358,C00383,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00285,O00361,C00248,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00286,O05148,C00296,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00287,O05403,C00876,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00288,O04652,C01448,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00289,O08942,C00234,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00290,O01409,C01444,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
